SN 				        & zhelio    & zcmb & RA			& DEC			& HostGalaxy       & Mbest
iPTF13S 		        & 0.059   & 0.060     & 203.222074 	& +35.959372	& SDSS J133253.27+355733.4 & 7.97	\\ 
iPTF13ez 		        & 0.04363       & 0.04470   & 182.463737 	& +19.787693	& KUG 1207+200              & 10.19\\
iPTF13ft	 	        & 0.03884	    & 0.03963   & 199.947067 	& +33.024961	& SDSS J131947.32+330131.8  & 8.80\\
iPTF13abc (SN\,2013bh)	& 0.07436 	    & 0.07498   & 225.554527 	& +10.645905	& SDSS J150214.17+103843.6  & 10.33\\ 
iPTF13ahk               & 0.02639	    & 0.02712   & 203.805002 	& +34.678903	& NGC 5233                  & 11.27\\
iPTF13anh	 	        & 0.0615	& 0.0625    & 196.710215	& +15.575657	& SDSS J130650.44+153432.7  & 8.51	\\ 
iPTF13aro               & 0.08462		& 0.08497   & 236.884308 	& +23.023956	& SDSS J154732.26+230111.8 & 10.75	\\ 
iPTF13asv (SN\,2013cv)	& 0.0362 	& 0.0364    & 245.679971	& +18.959717	& SDSS J162243.02+185733.8 & 7.71	\\ 
iPTF13ayw	 	        & 0.05385		& 0.05418   & 234.889650 	& +32.093954	& SDSS J153933.08+320538.3 & 11.15	\\ 
iPTF13azs (SN\,2013cx)	& 0.0338  & 0.03376   & 256.067046 	& +41.510353	& SDSS J170415.96+413036.8 & 9.79	\\ 
iPTF13bkw 		        & 0.06393		& 0.06491   & 200.489840 	& +11.735753	& SDSS J132157.57+114406.2 & 10.56	\\ 
iPTF13crp			    & 0.0630	& 0.0621    & 29.750591 	& +16.264187	& SDSS J015900.28+161551.5 & 10.71	\\ 
iPTF13daw		        & 0.07755		& 0.07680   & 40.880381 	& +1.984422	    & SDSS J024331.69+015908.4 & 10.82\\ 
iPTF13ddg	 	        & 0.084  & 0.083     & 11.961798 	& +31.821517	& SDSS J004750.94+314922.5 & 9.71	\\ 
iPTF13dge		        & 0.015854		& 0.015805  & 75.896169 	& +1.571493	    & NGC 1762                  & 10.87	\\ 
iPTF13dkj			    & 0.03623 	    & 0.03503   & 347.211539 	& +20.069088	& CGCG 454-001              & 10.50	\\ 
iPTF13dkx		        & 0.0345 & 0.0335    & 20.221425 	& +3.339925	    & SDSS J012052.56+032023.0 & 9.13	\\ 
iPTF13duj (SN\,2013fw)	& 0.016952		& 0.015879  & 318.436571 	& +13.575875	& NGC 7042                  & 10.99	\\ 
iPTF13dym 		        & 0.04213 		& 0.04091   & 351.125804 	& +14.651100	& SDSS J232430.20+143903.5 & 9.93	\\ 
iPTF13dzm		        & 0.018193 		& 0.017219  & 17.824325 	& +33.112441	& NGC 0414              & 10.25	\\ 
iPTF13ebh               & 0.013269		& 0.012493  & 35.499900 	& +33.270479	& NGC 890             & 11.23	\\ 
iPTF13efe		 	    & 0.070   & 0.071     & 130.913761 	& +16.177023	& SDSS J084339.26+161037.5 & 8.39	\\ 
iPTF14yw (SN\,2014aa)   & 0.016882      & 0.017972  & 176.264696 	& +19.973620	& NGC 3861              & 10.86	\\ 
iPTF14yy			    & 0.04311		& 0.04423   & 186.538205	& +9.978942	    & SDSS J122608.78+095847.1 & 10.40	\\ 
iPTF14aje		 	    & 0.02769		& 0.02825   & 231.300298 	& -1.814299	    & UGC 9839                  & 10.96	\\ 
iPTF14ale		 	    & 0.093226 		& 0.093835  & 219.587725 	& +27.334341	& SDSS J143822.02+272010.6 & 11.36	\\
iPTF14apg	 	        & 0.08717       & 0.088278  & 189.480312 	& +8.384737	    & SDSS J123758.69+082301.5 (?) & 	11.01	\\ 
iPTF14atg		    	& 0.02129		& 0.02222   & 193.186849 	& +26.470284	& IC 0831               & 10.88	\\ 
iPTF14bbr		 	    & 0.06549		& 0.06662   & 186.546284 	& +7.668036	    & SDSS J122611.21+074000.9 & 10.85	\\ 
iPTF14bdn	 	        & 0.01558       & 0.016348  & 202.687002 	& +32.761788	& UGC 8503 & 8.37	\\ 
iPTF14bpo		        & 0.07847		& 0.07838   & 258.629576 	& +31.157130	& SDSS J171429.74+310905.0 (?) & 10.77	\\ 
iPTF14bpz	 	        & 0.120   & 0.120     & 234.215837 	& +21.767070	& SDSS J153651.66+214556.5 & 8.48	\\ 
iPTF14bqg	 	        & 0.03291		& 0.03303   & 245.986385 	& +36.228411	& SDSS J162356.48+361339.3 & 10.84	\\ 
iPTF14ddi 	            & 0.08133		& 0.08126   & 257.639496 	& +31.659566    & SDSS J171036.45+313945.0 (?) & 11.16	\\ 
iPTF14deb		        & 0.13243		& 0.13293   & 229.614857 	& +19.742951	& SDSS J151828.02+194455.3 & 11.42	\\ 
iPTF14eje			    & 0.11888		& 0.11774   & 348.293114	& +29.191366	& SDSS J231309.15+291111.6 & 11.38	\\ 
iPTF14fpb			    & 0.061   & 0.060     & 11.944065 	& +11.240145	& SDSS J004746.83+111415.9 & 10.14	\\ 
iPTF14fww		        & 0.10296		& 0.10183   & 10.326226 	& +15.438180	& SDSS J004118.33+152616.2 & 10.07	\\ 
iPTF14gnl		        & 0.053727		& 0.052572  & 5.951363 	    & -3.857740 	& SDSS J002348.33-035120.6 & 10.59	\\ 
iPTF16abc (SN\,2016bln)	& 0.023196		& 0.024128  & 203.689542 	& +13.853974	& NGC 5221 & 10.85	\\ 
iPTF16auf (SN\,2016ccz)	& 0.01499		& 0.01563   & 217.788598 	& +27.236051	& MRK 0685 & 9.53	\\ 
iPTF17lf (SN\,2017lf)	& 0.01464 		& 0.01407   & 48.139952	    & +39.320608	& NGC 1233 & 10.50	\\ 